file	size	sha256	crc32c	plane	src_frame	src_frame_sha256	jxl_version	effort
FPTEST_010_20000101_000001_p2_00.jxl	493028	ebaa566291d1f643c8edda972073b227227d3a981bc933370f52e4782ee7e027	5265b095	p2_00	FPTEST_010_20000101_000001.DNG	aadda232ac3cec30e3dea2671e55ac66bc36c58ac5afa435432e21a82ab5f45f	cjxl v0.12.0 1cad73c [_NEON_] {AppleClang 21.0.0.21000334}	7
FPTEST_010_20000101_000001_p2_01.jxl	474900	cd2724984b6860559a8ad64960b4d4a4e7aeccf910f3065ec8571053ff2f2780	87e15591	p2_01	FPTEST_010_20000101_000001.DNG	aadda232ac3cec30e3dea2671e55ac66bc36c58ac5afa435432e21a82ab5f45f	cjxl v0.12.0 1cad73c [_NEON_] {AppleClang 21.0.0.21000334}	7
FPTEST_010_20000101_000001_p2_10.jxl	473384	c40a3ea10c00389d7a3465716a3bfa2b578c8d9d709906a6d6fd5ed351a63e89	d8b35002	p2_10	FPTEST_010_20000101_000001.DNG	aadda232ac3cec30e3dea2671e55ac66bc36c58ac5afa435432e21a82ab5f45f	cjxl v0.12.0 1cad73c [_NEON_] {AppleClang 21.0.0.21000334}	7
FPTEST_010_20000101_000001_p2_11.jxl	347501	a75f6b2b6bef354c86148941a495acbc45518fd6fdbad77bea372ac4594db982	6bf8f81f	p2_11	FPTEST_010_20000101_000001.DNG	aadda232ac3cec30e3dea2671e55ac66bc36c58ac5afa435432e21a82ab5f45f	cjxl v0.12.0 1cad73c [_NEON_] {AppleClang 21.0.0.21000334}	7
