file	size	sha256	crc32c	plane	src_frame	src_frame_sha256	jxl_version	effort
FPTEST_008_20000101_000001_p2_00.jxl	163314	5a760a44d7feae86a0875c3dc12848b42cb5768039ca460ab2960a4ad3ca0128	36124080	p2_00	FPTEST_008_20000101_000001.DNG	abc95a7e1bb4fa3e417dfdaf65e363ae332582904e65d4525ac2cb56041e44eb	cjxl v0.12.0 1cad73c [_NEON_] {AppleClang 21.0.0.21000334}	7
FPTEST_008_20000101_000001_p2_01.jxl	153651	b25e24f020fd79c1b00530cc8ac9f83474af33c1955bb4cbae7eb995f97b2b7e	10fd6322	p2_01	FPTEST_008_20000101_000001.DNG	abc95a7e1bb4fa3e417dfdaf65e363ae332582904e65d4525ac2cb56041e44eb	cjxl v0.12.0 1cad73c [_NEON_] {AppleClang 21.0.0.21000334}	7
FPTEST_008_20000101_000001_p2_10.jxl	150563	7d1f59ae90641fb216385dbb370b628bde5940e8883058e82649ce85b2148f2e	eae7ca50	p2_10	FPTEST_008_20000101_000001.DNG	abc95a7e1bb4fa3e417dfdaf65e363ae332582904e65d4525ac2cb56041e44eb	cjxl v0.12.0 1cad73c [_NEON_] {AppleClang 21.0.0.21000334}	7
FPTEST_008_20000101_000001_p2_11.jxl	124602	64b70eb6a6a393bba91ba7c57ef16a8320bf084597cd2b3d81296951fb7f4832	6e49733a	p2_11	FPTEST_008_20000101_000001.DNG	abc95a7e1bb4fa3e417dfdaf65e363ae332582904e65d4525ac2cb56041e44eb	cjxl v0.12.0 1cad73c [_NEON_] {AppleClang 21.0.0.21000334}	7
